Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean (model comparison)	met_sd (model comparison)	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	KEGG_ID_metabolite	HMDB_ID_metabolite	SMILES_metabolite
D-Glucosamine	PYK	Pyruvate kinase PKLR	PKLR	P30613		-1.190784918	-0.193609434	-0.014312131	0.060235949	0.002914802	0.056141565	Glucosamine	G_11	1	C00329	HMDB01514	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
L-Histidine	PHGDH	D-3-phosphoglycerate dehydrogenase	PHGDH	O43175		-1.042427341	-0.257233728	-0.007837972	0.083771019	0.002909771	0.056141565	L-Histidine	H_6	1	C00135	HMDB00177	N[C@@H](CC1=CNC=N1)C(O)=O
4-Guanidinobutyric acid	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-0.700134098	-0.278246922	0.049887377	0.110304388	0.002931726	0.056310354	4-Guanidinobutanoic acid	4C_20	1	C01035	HMDB03464	NC(N)=NCCCC(O)=O
Guanidineacetic acid	PHGDH	D-3-phosphoglycerate dehydrogenase	PHGDH	O43175		-0.861716768	-0.216837877	0.002827721	0.07391426	0.002959656	0.05674334	Guanidoacetic acid	G_20	1	C00581	HMDB00128	NC(=N)NCC(O)=O
"2,3-Pyridinedicarboxylic acid"	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.549474926	0.440543432	-0.046407048	0.163973676	0.002981034	0.057075392	Quinolinic acid	P_7	4	C03722	HMDB00232	OC(=O)C1=CC=CN=C1C(O)=O
5-Methoxytryptamine	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-0.451991372	-0.43457541	0.035117014	0.158166955	0.002981888	0.057075392	5-Methoxytryptamine	M_7	1	C05659	HMDB04095	COC1=CC2=C(NC=C2CCN)C=C1
D-Maltose	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.151141025	0.42761038	-0.002209999	0.144770505	0.002987924	0.0571721	D-Maltose	M_4	2	C00208	HMDB00163	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
Melibiose	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.151141025	0.42759256	-0.00221292	0.14477107	0.002989038	0.057174577	Melibiose	M_3	2	C05402	HMDB00048	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
Orotic acid	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	0.269216772	0.479942274	-0.04212437	0.175980704	0.003010997	0.057455423	Orotic acid	O_1	4	C00295	HMDB00226	OC(=O)C1=CC(=O)NC(=O)N1
Thiamine monophosphate	PHGDH	D-3-phosphoglycerate dehydrogenase	PHGDH	O43175		-0.994721947	-0.271989932	0.075836999	0.117317954	0.003028574	0.057721764	Thiamine monophosphate	4C_30	1	C01081	HMDB02666	CC1=C(CCOP(O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N
Phenylpyruvate	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.275794683	0.284254492	-0.030087465	0.106108486	0.003051932	0.058014673	Phenylpyruvic acid	4C_24	3	C00166	HMDB00205	OC(=O)C(=O)CC1=CC=CC=C1
L-Citrulline	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.126356863	0.215677052	-0.028302962	0.082405111	0.00306902	0.058301351	Citrulline	C_13	3	C00327	HMDB00904	N[C@@H](CCCNC(N)=O)C(O)=O
N-2-Furoylglycine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.272161408	-0.346888176	0.011529695	0.121187508	0.003100965	0.058737828	2-Furoylglycine	CNC_154	1		HMDB00439	OC(=O)CNC(=O)C1=CC=CO1
Isovaleryl coenzyme A	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-6.760265587	-0.772493595	0.155156063	0.313894405	0.003123731	0.059031816	Isovaleryl-CoA	20C_46	2	C02939	HMDB01113	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
5-Methoxy-3-indoleacetic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.026723179	-0.437006233	0.067785991	0.170828532	0.003127052	0.059075344	5-Methoxyindoleacetate	M_8	1	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1
Norepinephrine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-1.197653099	-0.273625501	0.069566429	0.116180322	0.003137255	0.059162667	Norepinephrine	CNC_95	1	C00547	HMDB00216	NC[C@H](O)C1=CC(O)=C(O)C=C1
Pyridoxine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-1.197653099	-0.273625501	0.069566429	0.116180322	0.003137255	0.059162667	Pyridoxine	P_11	1	C00314	HMDB00239	CC1=NC=C(CO)C(CO)=C1O
Cyclic AMP	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-0.032644575	-0.389276811	-0.025466078	0.123266496	0.003163204	0.059564614	Cyclic AMP	CNC_59	3	C00575	HMDB00058	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O
5-Methoxy-3-indoleacetic acid	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.661094685	-0.436327886	0.067785991	0.170828532	0.003167536	0.05962687	5-Methoxyindoleacetate	M_8	1	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1
NADH	LDHB	L-lactate dehydrogenase B chain	LDHB	P07195		3.378970814	3.699397431	0.149863371	1.203656214	0.003188452	0.059826732	NADH	CNC_101	4	C00004	HMDB01487	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DL-Homocysteine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.105259725	0.244944729	-0.020282021	0.089952786	0.003193091	0.059894427	Homocysteine	CNC_196	3	C00155	HMDB00742	NC(CCS)C(O)=O
"DL-3,4-Dihydroxyphenyl glycol"	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-0.496332653	-0.242572316	-0.013794758	0.07761083	0.003200927	0.059963962	"3,4-Dihydroxyphenylglycol"	CNC_75	3	C05576	HMDB00318	OCC(O)C1=CC(O)=C(O)C=C1
Nicotinic acid	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-1.681728015	-0.335122125	0.023238401	0.121595358	0.00320711	0.060033837	Nicotinic acid	N_2	1	C00253	HMDB01488	OC(=O)C1=CN=CC=C1
Biotin	GCK	Hexokinase-4	GCK	P35557		-0.454550186	-0.250062271	0.019851403	0.091674776	0.003237359	0.060343583	Biotin	B_4	1	C00120	HMDB00030	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
D-Glyceraldehyde 3-phosphate	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-0.573991264	-0.431277584	0.016041581	0.151934391	0.003238325	0.060343583	D-Glyceraldehyde 3-phosphate	20C_4	3	C00118	HMDB01112	OC(COP(O)(O)=O)C=O
Glycerone phosphate	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-0.573991264	-0.431277584	0.016041581	0.151934391	0.003238325	0.060343583	Dihydroxyacetone phosphate	20C_60	3	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O
Hippuric acid	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		-0.976286756	-0.434068288	0.043351772	0.162217169	0.003249518	0.060503523	Hippuric acid	CNC_132	1	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1
Trans-beta-Hydromuconic acid	PHGDH	D-3-phosphoglycerate dehydrogenase	PHGDH	O43175		-1.162218417	-0.23143816	0.012414598	0.082953145	0.00328589	0.061141551	3-Hexenedioic acid	CNC_146	1		HMDB00393	OC(=O)C\C=C\CC(O)=O
Acetyl coenzyme A	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		-0.373124024	0.824282386	0.040343501	0.266698489	0.003288271	0.061166262	Acetyl-CoA	CNC_84	2	C00024	HMDB01206	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Nicotinamide hypoxanthine dinucleotide	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.206870975	0.387475455	0.002230661	0.131112101	0.003300329	0.0613709	NHD	CNC_67	2	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N
Phosphatidylcholine	PYK	Pyruvate kinase PKLR	PKLR	P30613		-0.062412393	0.33385123	0.004467387	0.112213149	0.003331814	0.0617587	Phosphatidylcholine	AVL_3	3	C00157		O=C(OCC(OC(=O)CC)COP([O-])(=O)OCC[N+](C)(C)C)CC
L-alpha-Glycerophosphorylcholine	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-3.127815377	-1.486316714	0.059749049	0.52682561	0.003338894	0.061870188	Glycerophosphocholine	CNC_79	1	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO
Phosphoenolpyruvic acid	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		-1.596216679	-0.405178383	-0.00828918	0.135252264	0.003341537	0.061899423	Phosphoenolpyruvic acid	20C_59	4	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
Dihydrothymine	PHGDH	D-3-phosphoglycerate dehydrogenase	PHGDH	O43175		-0.72183744	0.391699392	0.025327504	0.124921454	0.003359007	0.062163574	Dihydrothymine	20C_78	2	 C00906	HMDB00079	CC1CNC(=O)NC1=O
Dihydrothymine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-0.767851969	0.391568662	0.025327504	0.124921454	0.003370346	0.062353553	Dihydrothymine	20C_78	2	 C00906	HMDB00079	CC1CNC(=O)NC1=O
2-Deoxyguanosine	TPI	Triosephosphate isomerase	TPI1	P60174		0.527387802	0.777926012	0.009152772	0.262489976	0.003403042	0.062904913	Deoxyguanosine	D_14	2	C00330	HMDB00085	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1
4-Imidazoleacetic acid	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-1.365523498	-0.211748871	0.024197746	0.080563697	0.003403866	0.062904913	Imidazoleacetic acid	I_7	1	C02835	HMDB02024	OC(=O)CC1=CN=CN1
Creatine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-1.072178909	-0.240607641	-0.004693603	0.080554114	0.00340448	0.062904913	Creatine	C_8	1	C00300	HMDB00064	CN(CC(O)=O)C(N)=N
L-Valine	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.026801255	0.230139134	-0.03155346	0.089373383	0.003410601	0.062997969	L-Valine	V_1	3	C00183	HMDB00883	CC(C)[C@H](N)C(O)=O
D-Ribose	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-0.574310365	0.438515705	-0.028506466	0.159520512	0.003415209	0.063042997	D-Ribose	4C_4	2	C00121	HMDB00283	OC[C@H]1OC(O)[C@H](O)[C@@H]1O
D-Xylulose	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-0.574310365	0.438515705	-0.028506466	0.159520512	0.003415209	0.063042997	D-Xylulose	CNC_47	2	C00310	HMDB01644	OC[C@@H](O)[C@H](O)C(=O)CO
Choline	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.468212933	-0.554642125	0.01229306	0.193755551	0.003433142	0.063333791	Choline	C_6	1	C00114	HMDB00097	C[N+](C)(C)CCO
Uridine 5-diphosphogalactose	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.385119715	0.444018043	0.061168747	0.130858616	0.003437139	0.063367274	Uridine diphosphategalactose	CNC_58	3	C00052	HMDB00302	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
Cytidine 5-triphosphate	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-1.196053532	0.720159149	0.065741073	0.223870797	0.003464591	0.063732494	Cytidine triphosphate	CNC_68	4	C00063	HMDB00082	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Pantothenic acid	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-1.49013534	-0.257469216	0.015721231	0.093472534	0.003470313	0.063816846	Pantothenic acid	P_8	1	C00864	HMDB00210	CC(C)(CO)C(O)C(=O)NCCC(O)=O
Diadenosine triphosphate	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	0.220597137	0.885283915	-0.006503729	0.305390793	0.003498603	0.064134061	Diadenosine triphosphate	CNC_141	3	C06197	HMDB01155	NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1
Phosphocreatine	FBPase-L	"Fructose-1,6-bisphosphatase 1"	FBP1	P09467		-1.043099714	-0.244338446	0.003611633	0.084915993	0.003500925	0.064136156	Phosphocreatine	20C_26	2	C02305	HMDB01511	CN(CC(O)=O)C(=N)NP(O)(O)=O
Anthranilate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.2595337	-0.261937465	0.015747954	0.095142434	0.003515749	0.064271564	2-Aminobenzoic acid	A_17	1	C00108	HMDB01123	NC1=CC=CC=C1C(O)=O
N-2-Furoylglycine	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.826036151	-0.342223172	0.011529695	0.121187508	0.003510955	0.064271564	2-Furoylglycine	CNC_154	1		HMDB00439	OC(=O)CNC(=O)C1=CC=CO1
D-Fructose 6-phosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.5743811	-0.486941111	-0.013828153	0.162124444	0.003520487	0.064271564	Fructose 6-phosphate	F_6	4	C00085	HMDB00124	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
D-Galactose 1-phosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.5743811	-0.486941111	-0.013828153	0.162124444	0.003520487	0.064271564	Galactose 1-phosphate	20C_66	4	 C00446	HMDB00645	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
D-Glucose 1-phosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.5743811	-0.486941111	-0.013828153	0.162124444	0.003520487	0.064271564	Glucose 1-phosphate	20C_3	4	C00103	HMDB01586	OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
D-Glucose 6-phosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.5743811	-0.486941111	-0.013828153	0.162124444	0.003520487	0.064271564	Glucose 6-phosphate	20C_5	4	C00668	HMDB01401	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
D-Mannose 6-phosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.5743811	-0.486941111	-0.013828153	0.162124444	0.003520487	0.064271564	Mannose 6-phosphate	20C_64	4	C00275	HMDB01078	O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
D-Mannose 6-phosphate_1	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.5743811	-0.486941111	-0.013828153	0.162124444	0.003520487	0.064271564						
Mannose 1-phosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.5743811	-0.486941111	-0.013828153	0.162124444	0.003520487	0.064271564	D-Mannose 1-phosphate	CNC_69	4	C00636	HMDB06330	OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
D-Glucuronic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.263232045	0.203322087	-0.021005131	0.07693857	0.003549296	0.064736479	D-Glucuronic acid	G_7	3	C00191	HMDB00127	O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
"2,3-Dihydroxypropyl hexopyranoside"	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-0.58422036	0.468487161	-0.008467388	0.1635986	0.003552386	0.0647725	Galactosylglycerol	Cay_5	2	C05401	HMDB06790	OCC(O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
N-Acetyl-Asp-Glu	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.056024176	-0.53623407	0.033392186	0.195501721	0.003572146	0.065112359	N-Acetylaspartylglutamic acid	CNC_90	4	C12270	HMDB01067	CC(=O)NC(CC(O)=O)C(=O)NC(CCC(O)=O)C(O)=O
2-Deoxy-D-ribonic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.050521306	0.368444149	-0.020384939	0.133527474	0.003591477	0.065423678	2-Deoxyribonic acid	CNC_185	4		HMDB00366	OC[C@@H](O)[C@@H](O)CC(O)=O
"D-myo-Inositol-1,4,5-triphosphate"	GCK	Hexokinase-4	GCK	P35557		-0.376011505	0.892131124	0.051204005	0.288805428	0.003594185	0.065445483	"Inositol 1,4,5-trisphosphate"	Cay_7	4	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
Adenylosuccinic acid	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-0.183103317	0.725245131	0.151830451	0.196948334	0.003597002	0.065455431	Adenylsuccinic acid	CNC_124	3	C03794	HMDB00536	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O
"N,N-Diacetylchitobiose"	ENO1	Alpha-enolase	ENO1	P06733		-0.090333793	0.3472236	0.000153395	0.119209326	0.003597728	0.065455431	Chitobiose	CNC_100	2	C01674	HMDB03556	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(O)=O)[C@@H]1O
Dimethylaminopurine	ENO1	Alpha-enolase	ENO1	P06733		-1.084857135	-0.541809888	0.025363406	0.19487539	0.003609193	0.065643466	6-Dimethylaminopurine	CNC_43	1		HMDB00473	CN(C)C1=NC=NC2=C1NC=N2
2-Deoxyguanosine 5-diphosphate	LDHB	L-lactate dehydrogenase B chain	LDHB	P07195		0.277635519	0.497978555	-0.011968468	0.175480783	0.003660823	0.066416162	dGDP	CNC_76	2	C00361	HMDB00960	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
Adenosine diphosphate	LDHB	L-lactate dehydrogenase B chain	LDHB	P07195		0.277635519	0.497978555	-0.011968468	0.175480783	0.003660823	0.066416162	ADP	20C_18	2	C00008	HMDB01341	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
3-Methylglutaric acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.214154333	0.23887059	-0.031381731	0.093146672	0.00371543	0.067301768	Methylglutaric acid	CNC_6	3		HMDB00752	CC(CC(O)=O)CC(O)=O
2-Methylglutaric acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.214154333	0.23887059	-0.031381731	0.093146672	0.00371543	0.067301768	2-Methylglutaric acid	CNC_122	3		HMDB00422	CC(CCC(O)=O)C(O)=O
D-Glutamic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.203237341	0.361772209	-0.052104361	0.142940433	0.003786179	0.068285231	D-Glutamic acid	G_21	4	C00217	HMDB03339	N[C@H](CCC(O)=O)C(O)=O
Indole-3-pyruvic acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.872245375	-0.606426153	0.027381105	0.21905862	0.003811896	0.068557472	Indolepyruvate	20C_30	4	C00331	HMDB60484	OC(=O)C(=O)CC1=CNC2=CC=CC=C12
3-Aminopiperidin-2-one	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.120550287	0.258015789	-0.000239034	0.089296684	0.003826777	0.068782532	3-Amino-2-piperidone	CNC_119	1		HMDB00323	NC1CCCNC1=O
N-Acetyl-D-galactosamine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-0.469804895	0.29464692	-0.029633615	0.112212974	0.003854052	0.069101729	N-Acetylgalactosamine	4C_6	2	C01132	HMDB00212	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
N-Acetyl-D-glucosamine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-0.469804895	0.29464692	-0.029633615	0.112212974	0.003854052	0.069101729	N-Acetyl-D-glucosamine	20C_11	2	C00140	HMDB00215	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
Ketoglutaric acid	PKM2	Pyruvate kinase PKM	PKM	P14618		-0.804323523	-0.610233769	-0.005163438	0.209451136	0.003866686	0.06924277	Oxoglutaric acid	4C_38	4	C00026	HMDB00208	OC(=O)CCC(=O)C(O)=O
N-Acetyl-D-glucosamine 1-phosphate	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		0.097539561	1.100306685	0.012357949	0.376789768	0.003884205	0.069535055	N-Acetyl-glucosamine 1-phosphate	20C_68	4	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
Isovaleric acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.213151353	0.213495408	-0.035545003	0.086313128	0.003910244	0.069936544	Isovaleric acid	CNC_115	3	C08262	HMDB00718	CC(C)CC(O)=O
"2,5-Dihydroxybenzoic acid"	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.186251503	-0.311780172	0.042444524	0.122820306	0.003925478	0.070058019	Gentisic acid	D_9	4	C00628	HMDB00152	OC(=O)C1=CC(O)=CC=C1O
D-Glucuronic acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.216827105	0.200778012	-0.021005131	0.07693857	0.003944076	0.070368321	D-Glucuronic acid	G_7	3	C00191	HMDB00127	O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
3-Sulfopyruvic acid	ENO2	Gamma-enolase	ENO2	P09104		-0.544560537	-0.497615931	0.069336921	0.196816482	0.003968979	0.070790897	3-Sulfopyruvic acid	CNC_102	3	C05528	HMDB04045	OC(=O)C(=O)CS(O)(=O)=O
Nicotinamide hypoxanthine dinucleotide	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		-0.081167282	0.379420311	0.002230661	0.131112101	0.004016684	0.071510022	NHD	CNC_67	2	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N
D-Pyroglutamic Acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.098801278	0.221272147	-0.028463481	0.086825089	0.004023579	0.071562869	Pyrrolidonecarboxylic acid	CNC_29	3	C02237	HMDB00805	OC(=O)C1CCC(=O)N1
L-Pyroglutamic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-0.098801278	0.221272147	-0.028463481	0.086825089	0.004023579	0.071562869	Pyroglutamic acid	P_9	3	C01879	HMDB00267	OC(=O)[C@@H]1CCC(=O)N1
